time,contact_LF,contact_RF,contact_LH,contact_RH,hip_LF,hip_RF,hip_LH,hip_RH,knee_LF,knee_RF,knee_LH,knee_RH
0.0,0,1,1,0,0.0,4.2748237638261994e-17,4.2748237638261994e-17,0.0,-0.4534498410585544,0.45344984105855435,0.45344984105855435,-0.4534498410585544
0.01,1,0,0,1,0.02191802609648637,-0.02191802609648636,-0.02191802609648636,0.02191802609648637,-0.436116541805624,0.43611654180562404,0.43611654180562404,-0.436116541805624
0.02,1,0,0,1,0.04374955175736355,-0.04374955175736356,-0.04374955175736356,0.04374955175736355,-0.41706208980488246,0.41706208980488235,0.41706208980488235,-0.41706208980488246
0.03,1,0,0,1,0.06540841792472338,-0.06540841792472328,-0.06540841792472328,0.06540841792472338,-0.39636168427322566,0.3963616842732257,0.3963616842732257,-0.39636168427322566
0.04,1,0,0,1,0.08680914694879804,-0.08680914694879796,-0.08680914694879796,0.08680914694879804,-0.3740970202541714,0.3740970202541716,0.3740970202541716,-0.3740970202541714
0.05,1,0,0,1,0.10786727992919257,-0.10786727992919254,-0.10786727992919254,0.10786727992919257,-0.3503559662048454,0.3503559662048453,0.3503559662048453,-0.3503559662048454
0.06,1,0,0,1,0.1284997100355792,-0.1284997100355792,-0.1284997100355792,0.1284997100355792,-0.32523221721932444,0.32523221721932455,0.32523221721932455,-0.32523221721932444
0.07,1,0,0,1,0.14862501049238877,-0.14862501049238877,-0.14862501049238877,0.14862501049238877,-0.29882492525690524,0.2988249252569051,0.2988249252569051,-0.29882492525690524
0.08,1,0,0,1,0.16816375593309335,-0.16816375593309324,-0.16816375593309324,0.16816375593309335,-0.2712383078346194,0.27123830783461944,0.27123830783461944,-0.2712383078346194
0.09,1,0,0,1,0.18703883585584224,-0.18703883585584216,-0.18703883585584216,0.18703883585584224,-0.24258123672830598,0.24258123672830623,0.24258123672830623,-0.24258123672830598
0.1,1,0,0,1,0.20517575894338408,-0.20517575894338402,-0.20517575894338402,0.20517575894338408,-0.21296680830545126,0.2129668083054512,0.2129668083054512,-0.21296680830545126
0.11,1,0,0,1,0.22250294704626433,-0.22250294704626433,-0.22250294704626433,0.22250294704626433,-0.1825118971854947,0.1825118971854948,0.1825118971854948,-0.1825118971854947
0.12,1,0,0,1,0.23895201766908022,-0.23895201766908025,-0.23895201766908025,0.23895201766908022,-0.15133669498910143,0.15133669498910127,0.15133669498910127,-0.15133669498910143
0.13,1,0,0,1,0.2544580538449491,-0.25445805384494896,-0.25445805384494896,0.2544580538449491,-0.11956423599674544,0.11956423599674552,0.11956423599674552,-0.11956423599674544
0.14,1,0,0,1,0.2689598603331187,-0.26895986033311875,-0.26895986033311875,0.2689598603331187,-0.08731991158861385,0.0873199115886137,0.0873199115886137,-0.08731991158861385
0.15,1,0,0,1,0.2824002051286255,-0.2824002051286255,-0.2824002051286255,0.2824002051286255,-0.05473097538211507,0.054730975382115014,0.054730975382115014,-0.05473097538211507
0.16,1,0,0,1,0.29472604533087116,-0.2947260453308711,-0.2947260453308711,0.29472604533087116,-0.021926041019987175,0.021926041019987356,0.021926041019987356,-0.021926041019987175
0.17,1,0,0,1,0.30588873647971815,-0.30588873647971815,-0.30588873647971815,0.30588873647971815,0.010965425408991303,-0.010965425408991356,-0.010965425408991356,0.010965425408991303
0.18,1,0,0,1,0.31584422453295036,-0.3158442245329503,-0.3158442245329503,0.31584422453295036,0.04381361631350673,-0.04381361631350666,-0.04381361631350666,0.04381361631350673
0.19,1,0,0,1,0.3245532197274516,-0.32455321972745166,-0.32455321972745166,0.3245532197274516,0.07648889489097002,-0.0764888948909703,-0.0764888948909703,0.07648889489097002
0.2,1,0,0,1,0.3319813516379506,-0.3319813516379506,-0.3319813516379506,0.3319813516379506,0.10886230674475089,-0.10886230674475095,-0.10886230674475095,0.10886230674475089
0.21,1,0,0,1,0.33809930482138734,-0.33809930482138734,-0.33809930482138734,0.33809930482138734,0.14080608880826725,-0.1408060888082672,-0.1408060888082672,0.14080608880826725
0.22,1,0,0,1,0.3428829345115737,-0.34288293451157376,-0.34288293451157376,0.3428829345115737,0.17219417356744046,-0.17219417356744063,-0.17219417356744063,0.17219417356744046
0.23,1,0,0,1,0.3463133619075551,-0.346313361907555,-0.346313361907555,0.3463133619075551,0.20290268659157787,-0.2029026865915778,-0.2029026865915778,0.20290268659157787
0.24,1,0,0,1,0.3483770486796126,-0.3483770486796126,-0.3483770486796126,0.3483770486796126,0.23281043540915822,-0.23281043540915847,-0.23281043540915847,0.23281043540915822
0.25,1,0,0,1,0.3490658503988659,-0.3490658503988659,-0.3490658503988659,0.3490658503988659,0.2617993877991494,-0.26179938779914946,-0.26179938779914946,0.2617993877991494
0.26,1,0,0,1,0.3483770486796126,-0.3483770486796126,-0.3483770486796126,0.3483770486796126,0.2897551376102607,-0.28975513761026056,-0.28975513761026056,0.2897551376102607
0.27,1,0,0,1,0.346313361907555,-0.3463133619075551,-0.3463133619075551,0.346313361907555,0.3165673562697548,-0.31656735626975485,-0.31656735626975485,0.3165673562697548
0.28,1,0,0,1,0.3428829345115737,-0.3428829345115737,-0.3428829345115737,0.3428829345115737,0.3421302281999202,-0.3421302281999204,-0.3421302281999204,0.3421302281999202
0.29,1,0,0,1,0.3380993048213874,-0.33809930482138734,-0.33809930482138734,0.3380993048213874,0.36634286842381375,-0.3663428684238139,-0.3663428684238139,0.36634286842381375
0.3,1,0,0,1,0.3319813516379507,-0.3319813516379507,-0.3319813516379507,0.3319813516379507,0.3891097207121751,-0.38910972071217514,-0.38910972071217514,0.3891097207121751
0.31,1,0,0,1,0.3245532197274516,-0.32455321972745166,-0.32455321972745166,0.3245532197274516,0.4103409347002074,-0.41034093470020727,-0.41034093470020727,0.4103409347002074
0.32,1,0,0,1,0.31584422453295036,-0.31584422453295036,-0.31584422453295036,0.31584422453295036,0.4299527204859189,-0.429952720485919,-0.429952720485919,0.4299527204859189
0.33,1,0,0,1,0.3058887364797181,-0.30588873647971804,-0.30588873647971804,0.3058887364797181,0.4478676793105861,-0.4478676793105862,-0.4478676793105862,0.4478676793105861
